Transaction Date,Ticker,Details,Transaction Type,Sub-Type,Account,Amount (CAD),Status,Submitted Date,Submitted Time,Filled Date,Filled Time,Order Type,Buy/Sell,Time in Force,Limit Price,Entered Quantity,Filled Quantity,Fees,Exchange Rate,Total Cost/Value (CAD)
2024-12-31,CRNT,Dec 19 $10 Call,Limit buy,Buy to open,TFSA,46.83,Completed,2024-12-31,1:02 pm,2024-12-31,1:02 pm,Limit buy,Buy to open,Day order,0.30 USD,"1 contract, 100 shares","1 contract x $0.30 USD",2.00 USD,1.463374,46.83
2024-12-26,CRNT,Dec 19 $10 Call,Limit buy,Buy to open,TFSA,123.42,Completed,2024-12-26,2:44 pm,2024-12-26,2:44 pm,Limit buy,Buy to open,Good until cancelled,0.40 USD,"2 contracts, 100 shares","2 contracts x $0.40 USD",4.00 USD,1.469285,123.42
2024-12-26,SOUN,,Limit sell,Sell to close,TFSA,174.40,Completed,2024-12-26,2:27 pm,2024-12-26,2:27 pm,Limit sell,Sell to close,Good for day,24.66 USD,"5 shares","5 shares x $24.66 USD",,1.414424,174.40
2024-12-19,SOUN,,Limit sell,Sell to close,TFSA,434.29,Expired,2024-12-19,12:33 pm,2024-12-19,12:33 pm,Limit sell,Sell to close,Good for day,28.00 USD,"11 shares","11 shares",,1.0,434.29
2024-12-19,TSLA,,Fractional buy,Buy to open,TFSA,22.46,Completed,2024-12-19,3:00 pm,2024-12-19,3:07 pm,Market buy,Buy to open,Fractional,39.7524 CAD,0.569 shares,"0.565 shares x $39.7524 CAD",,,
2024-12-19,TSLA,,Market buy,Buy to open,TFSA,154.44,Completed,2024-12-19,12:34 pm,2024-12-19,12:34 pm,Market buy,Buy to open,,38.61 CAD,"4 shares","4 shares x $38.61 CAD",,,
2024-12-19,PLTR,,Market buy,Buy to open,TFSA,324.44,Completed,2024-12-19,12:34 pm,2024-12-19,12:34 pm,Market buy,Buy to open,,73.8184 USD,,"3 shares x $73.8184 USD",1.465024,324.44
2024-12-19,AMZN,,Limit sell,Sell to close,TFSA,106.60,Completed,2024-12-19,12:32 pm,2024-12-19,12:32 pm,Limit sell,Sell to close,Good for day,26.65 CAD,"4 shares","4 shares x $26.65 CAD",,,
2024-12-19,QUBT,,Limit sell,Sell to close,TFSA,383.53,Completed,2024-12-19,12:29 pm,2024-12-19,12:29 pm,Limit sell,Sell to close,Good for day,16.96 USD,"16 shares","16 shares x $17.0019 USD",,1.409862,383.53
2024-12-19,QUBT,,Limit sell,Sell to close,TFSA,450.07,Cancelled,2024-12-19,12:24 pm,2024-12-19,12:24 pm,Limit sell,Sell to close,Good until cancelled,19.95 USD,"16 shares","",,1.0,450.07
2024-12-19,QUBT,,Limit buy,Buy to open,TFSA,130.99,Completed,2024-12-19,12:05 pm,2024-12-19,12:05 pm,Limit buy,Buy to open,Good for day,17.99 USD,"5 shares","5 shares x $17.8865 USD",,1.464668,130.99
2024-12-19,NVDA,,Limit sell,Sell to close,TFSA,124.24,Completed,2024-12-19,12:02 pm,2024-12-19,12:02 pm,Limit sell,Sell to close,Good for day,31.06 CAD,"4 shares","4 shares x $31.06 CAD",,,
2024-12-19,QUBT,,Limit buy,Buy to open,TFSA,297.89,Completed,2024-12-19,12:01 pm,2024-12-19,12:01 pm,Limit buy,Buy to open,Good for day,18.54 USD,"11 shares","11 shares x $18.4881 USD",,1.464790,297.89
2024-12-19,GOOG,,Limit sell,Sell to close,TFSA,159.95,Completed,2024-12-19,12:00 pm,2024-12-19,12:00 pm,Limit sell,Sell to close,Good for day,31.99 CAD,"5 shares","5 shares x $31.99 CAD",,,
2024-12-19,MSFT,,Limit sell,Sell to close,TFSA,96.81,Completed,2024-12-19,11:59 am,2024-12-19,11:59 am,Limit sell,Sell to close,Good for day,32.27 CAD,"3 shares","3 shares x $32.27 CAD",,,
